bet_id,created_at,turnover,payout_multiplier,user_id,game_name
YPJYZZNK685760,8/1/2025 7:57:00,73.02,100.25,6,Sugar 1000
JQGQDDQY967199,8/1/2025 7:58:00,78.29,0,6,Sugar 1000
LBHGCWEF109990,8/1/2025 7:59:00,106.61,0,6,Rainbow candy
QAFYDCQA467001,8/1/2025 8:01:00,7.96,0,6,Sugar 1000
EJZPDBOS258940,8/1/2025 8:03:00,110.77,0,6,Rainbow candy
VNRXUIOI564222,8/1/2025 8:04:00,124.1,153.03,6,Sweet mint
HOUXZINF639834,8/1/2025 8:05:00,137.68,0,6,Sugar 1000
BNCOUEMF072649,8/1/2025 8:06:00,135.02,193.33,6,Sweet mint
DAJXTYZO955746,8/1/2025 8:06:00,67.25,0,6,Rainbow candy
CFQAZBVD377939,8/1/2025 8:07:00,50.52,0,6,Sweet mint
JZNLZTFV529682,8/1/2025 8:08:00,0.65,64.18,6,Sugar 1000
MWVCSMDQ227483,8/1/2025 8:09:00,114.37,122.12,6,Sugar 1000
BOPXTGLI045164,8/1/2025 8:11:00,35.65,88.75,6,Sweet mint
SWJPRYGQ576993,8/1/2025 8:12:00,124.38,203.1,6,Sugar 1000
SJGYPSML572858,8/1/2025 8:13:00,120.82,0,6,Rainbow candy
XRMPWTFK346574,8/1/2025 8:15:00,6.18,0,6,Rainbow candy
VIUSSDSG662778,8/1/2025 8:16:00,61.83,127.62,6,Sweet mint
VVAIXFSP236911,8/1/2025 8:18:00,66.33,0,6,Sugar 1000
OYQEMDOX650598,8/1/2025 8:20:00,16.38,37.8,6,Rainbow candy
NBIOTFJG758332,8/1/2025 8:21:00,115.19,0,6,Sugar 1000
JQPXYNLG385187,8/1/2025 8:23:00,24.48,0,6,Sweet mint
RRYAFEQF733493,8/1/2025 8:24:00,115.48,0,6,Sweet mint
XBWSMLXW820103,8/1/2025 8:25:00,41.37,0,6,Sweet mint
XKTVGHHF677727,8/1/2025 8:26:00,85.89,0,6,Rainbow candy
LVQEOPRT759594,8/1/2025 8:27:00,138.15,0,6,Sweet mint
UAVCKVAO832371,8/1/2025 8:28:00,90.81,220.41,6,Sweet mint
FVWZQCXP947388,8/1/2025 8:28:00,101.99,241.74,6,Sweet mint
ETOCBLWC920267,8/1/2025 8:29:00,62.68,131.94,6,Sugar 1000
FRVNMYAJ012384,8/1/2025 8:30:00,11.56,0,6,Sweet mint
TNWONMHD806291,8/1/2025 8:31:00,69.06,159.21,6,Rainbow candy
AAICOJHM699399,8/1/2025 8:31:00,66.28,15.86,6,Rainbow candy
ZPPBZZMX458421,8/1/2025 8:32:00,60.51,0,6,Rainbow candy
SQIPYHTY400439,8/1/2025 8:32:00,100.56,0,6,Sweet mint
FIRBJBHL392353,8/1/2025 8:34:00,21.63,177.19,6,Rainbow candy
SABBUFFQ424916,8/1/2025 8:36:00,90.32,14.83,6,Rainbow candy
CANKSBDA163397,8/1/2025 8:36:00,107.1,240.24,6,Sugar 1000
PGUEMCJC823284,8/1/2025 8:37:00,143.42,0,6,Sweet mint
MZWHHTVP678493,8/1/2025 8:38:00,66.96,192.68,6,Sweet mint
FESCGIJX912750,8/1/2025 8:39:00,103.01,0,6,Sugar 1000
MPLREZSA239435,8/1/2025 8:41:00,134.93,107.67,6,Sweet mint
FKJSCZGB089655,8/1/2025 8:41:00,47.35,0,6,Sugar 1000
YWJTNQNN881986,8/1/2025 8:42:00,120.02,0,6,Sweet mint
QQECAILA294446,8/1/2025 8:44:00,9.29,0,6,Rainbow candy
JWIDWOSA014247,8/1/2025 8:44:00,78.68,0,6,Rainbow candy
GCVLPQQT760149,8/1/2025 8:46:00,114.38,0,6,Sweet mint
WXKFOTNE091566,8/1/2025 8:47:00,114.91,25.55,6,Rainbow candy
DBEUKOAP815549,8/1/2025 8:47:00,86.76,0,6,Sugar 1000
IZQZZFBP761897,8/1/2025 8:48:00,135,43.94,6,Sweet mint
BHULQJGI280112,8/1/2025 8:50:00,43.16,0,6,Sweet mint
SBLOOAXM768162,8/1/2025 8:51:00,74.48,0,6,Sweet mint
KOVIDEHQ172653,8/1/2025 8:53:00,70.53,140.76,6,Rainbow candy
QEHHXQUE369728,8/1/2025 8:54:00,23.56,0,6,Rainbow candy
IUQBLWQC480518,8/1/2025 8:55:00,9.45,0,6,Sweet mint
HEAGJVCX777410,8/1/2025 8:55:00,53.16,0,6,Sugar 1000
MPMPMHLY565683,8/1/2025 8:57:00,149.35,79.52,6,Sweet mint
NYQOIHMI763905,8/1/2025 8:57:00,79.26,0,6,Sugar 1000
AMJLSPKV088250,8/1/2025 8:59:00,79.03,70.69,6,Sweet mint
SOOXHTNA049653,8/1/2025 8:59:00,113.82,0,6,Sweet mint
ADLPKEII376512,8/1/2025 9:00:00,41.09,0,6,Sugar 1000
OKFIZKED320042,8/1/2025 9:00:00,130.16,141.37,6,Sweet mint
NGCWRSNV913357,8/1/2025 9:01:00,77.53,0,6,Rainbow candy
VHUWWPNU619093,8/1/2025 9:03:00,63.13,0,6,Sugar 1000
FDRSXPTN758925,8/1/2025 9:03:00,34.47,0,6,Sweet mint
BVFCMGBD430810,8/1/2025 9:05:00,119.62,0,6,Rainbow candy
TUAOFUPK258320,8/1/2025 9:05:00,16.96,0,6,Rainbow candy
NLETXQXT210591,8/1/2025 9:06:00,107.03,82.91,6,Rainbow candy
ENEPZYMD318379,8/4/2025 4:33:00,120.27,76.95,6,Sweet mint
JNPJFFON989317,9/2/2025 2:43:00,18.61,0,6,Sweet mint
YAVRBRXG811206,9/2/2025 10:29:00,146.58,0,6,Sweet mint
KYHOEUIY168070,9/2/2025 10:31:00,2.54,0,6,Sweet mint
FUENVCDY591254,9/2/2025 10:32:00,69.01,0,6,Rainbow candy
XGUSIMFX187728,9/2/2025 10:33:00,54.47,214.02,6,Sweet mint
RDGVTVCH400527,9/2/2025 10:33:00,148.9,0,6,Sweet mint
NZSCOYWG726903,9/2/2025 10:34:00,93.22,204.55,6,Sugar 1000
ZVUVZQFW682595,9/2/2025 10:34:00,5.89,124.44,6,Sugar 1000
YULWAUKF457016,9/2/2025 10:35:00,49.39,0,6,Sweet mint
VDCAAFKQ629478,9/2/2025 10:37:00,15.82,0,6,Rainbow candy
WCSYVJLA339664,9/2/2025 10:38:00,24.61,0,6,Sugar 1000
DDLYJNVI148539,9/2/2025 10:38:00,40.37,225.59,6,Sweet mint
RPBYYCIP019942,9/2/2025 10:39:00,103.98,217.38,6,Sweet mint
REHBUBWN334211,9/2/2025 10:39:00,132.88,0,6,Rainbow candy
RBCRUTOZ924540,9/2/2025 10:41:00,141.59,0,6,Sugar 1000
DNVTEJXW450607,9/2/2025 10:43:00,71.53,0,6,Rainbow candy
URYPHSFA055208,9/2/2025 10:44:00,47.32,0,6,Sweet mint
CNBATBHP570758,9/2/2025 10:45:00,79.32,25.44,6,Rainbow candy
ZFGJJNSX131520,9/2/2025 10:46:00,148.87,208.95,6,Sweet mint
PQAVZSXL698215,9/2/2025 10:48:00,33.3,0,6,Rainbow candy
GYDEXJKY512980,9/2/2025 10:49:00,119.59,0,6,Sweet mint
HYFULHCZ028471,9/2/2025 10:50:00,123.05,0,6,Sugar 1000
CVKTKDFK352750,9/2/2025 10:51:00,58.17,86.39,6,Sweet mint
PKGRIEXH842862,9/2/2025 10:51:00,138.2,0,6,Sweet mint
RNRSEKCJ140738,9/2/2025 10:51:00,8.53,0,6,Rainbow candy
NCZLWMUM385502,9/2/2025 10:51:00,97.76,0,6,Rainbow candy
HHZWXANG449673,9/2/2025 10:53:00,23.68,0,6,Rainbow candy
KSSJHKSX004622,9/2/2025 10:54:00,110.2,0,6,Rainbow candy
EACILYCD665392,9/2/2025 10:54:00,104.78,0,6,Rainbow candy
DHBGMAEE679123,9/2/2025 10:56:00,95.68,0,6,Sugar 1000
OWCDXLWD125826,9/2/2025 10:57:00,141.68,126.17,6,Sugar 1000
VOXCQRRL792330,9/2/2025 10:58:00,123.35,0,6,Sugar 1000
EBCVQGDQ517613,9/2/2025 11:00:00,12.9,0,6,Sugar 1000
KFBKLJUG688217,9/2/2025 11:02:00,100.65,0,6,Sweet mint
LYWURHAM847243,9/2/2025 11:02:00,7.95,0,6,Rainbow candy
VROPBDGZ684271,9/2/2025 11:03:00,59.16,0,6,Sugar 1000
NHXOVJBO432682,9/2/2025 11:04:00,96.78,0,6,Sugar 1000
BLEGWGXD260877,9/2/2025 11:04:00,79.32,0,6,Sugar 1000
MAONAEEN119237,9/2/2025 11:05:00,22.68,89.64,6,Sugar 1000
GABJSHDA602328,9/2/2025 11:05:00,102.12,0,6,Sweet mint
NYQRXVRM131348,9/2/2025 11:07:00,119.38,52.13,6,Sugar 1000
GXSVLSCD197645,9/2/2025 11:08:00,44.8,144.24,6,Sweet mint
ADBJWXNQ074366,9/2/2025 11:08:00,2.88,114.5,6,Sweet mint
RYHXAMQJ084437,9/2/2025 11:09:00,41.22,0,6,Sugar 1000
HFCHRDKX720274,9/2/2025 11:10:00,107.48,0,6,Rainbow candy
UQBTXLEH739280,9/2/2025 11:11:00,12.27,0,6,Sugar 1000
YBENGEPC902707,9/2/2025 11:12:00,58.23,0,6,Sweet mint
MAHVQMJB018106,9/2/2025 11:14:00,92.89,0,6,Sugar 1000
SPRTMFPL868459,9/2/2025 11:14:00,115.3,15.53,6,Rainbow candy
UNMLAYMS442476,9/2/2025 11:14:00,49.15,62.31,6,Rainbow candy
YABCSCEZ012381,9/2/2025 11:15:00,137.34,0,6,Rainbow candy
DDIGBRCQ923748,9/2/2025 11:16:00,103.38,0,6,Sugar 1000
FGHXQLKR079886,9/2/2025 11:17:00,108.86,0,6,Rainbow candy
ROLTDWXB029611,9/2/2025 11:19:00,10.29,0,6,Sugar 1000
RIHXKNMR245001,9/2/2025 11:20:00,127.82,193.54,6,Sugar 1000
SNERLGNZ739624,9/2/2025 11:22:00,58.09,205.06,6,Sugar 1000
HMFMWQLC297878,9/2/2025 11:23:00,27.08,246.14,6,Sweet mint
XKBZZYKH180527,9/2/2025 11:24:00,87.96,0,6,Rainbow candy
PNPCAJBZ330132,9/2/2025 11:25:00,92.85,0,6,Sweet mint
YTQTIDPN175572,9/2/2025 11:26:00,146.75,0,6,Sugar 1000
BJKILQAX079016,9/2/2025 11:27:00,8.51,0,6,Sugar 1000
UAALRHMB878755,9/2/2025 11:28:00,14.2,57.76,6,Sweet mint
OJVOSHQP845592,9/2/2025 11:29:00,140.32,0,6,Sweet mint
VGWBZEFB940300,9/2/2025 11:30:00,52.35,0,6,Sugar 1000
MHIKEOKJ486701,9/2/2025 11:31:00,87.2,0,6,Sweet mint
MEVVJNDK038324,9/2/2025 11:33:00,72.17,60.22,6,Rainbow candy
WUHFHUVL030497,9/2/2025 11:33:00,73.58,0,6,Sweet mint
NQQANRAM264374,9/2/2025 11:33:00,13.11,8.73,6,Sweet mint
ZDKASOGO586125,9/2/2025 11:34:00,148.81,0,6,Sweet mint
SRUUADUA523454,9/2/2025 11:34:00,108.88,7.19,6,Sweet mint
OUCPJULO566011,9/2/2025 11:35:00,78.19,45.63,6,Sugar 1000
SHOWKIMX364167,9/2/2025 11:37:00,131.11,178.6,6,Sweet mint
EIAPVURY510754,9/2/2025 11:38:00,8.56,0,6,Sugar 1000
PLLTBTDY717417,9/2/2025 11:39:00,111.91,141.72,6,Rainbow candy
TLVAZQCO905429,9/2/2025 11:40:00,32.42,0,6,Sugar 1000
DZDWQFRE733047,9/2/2025 11:41:00,27.01,0,6,Sugar 1000
YFWPAPMZ561935,9/2/2025 11:42:00,123.27,0,6,Sugar 1000
SEENZOEE867434,9/2/2025 11:43:00,36.63,0,6,Sugar 1000
HTUSBYHE220735,9/2/2025 11:45:00,24.1,0,6,Sweet mint
JAGJDWIR880677,9/2/2025 11:47:00,103.76,0,6,Rainbow candy
AAVDTQQO606834,9/2/2025 11:48:00,101.24,227.17,6,Sugar 1000
SQIIXDOC788914,9/2/2025 11:49:00,88.64,0,6,Sugar 1000
XVXQJRHV734855,9/2/2025 11:49:00,105.03,0,6,Rainbow candy
VZPXREUP121517,9/2/2025 11:49:00,58.83,0,6,Sugar 1000
XJFDDEMX163562,9/2/2025 11:51:00,123.25,216.21,6,Sugar 1000
OEOZRURY840543,9/2/2025 11:52:00,34.76,0,6,Rainbow candy
TXIUVUPU475881,9/2/2025 11:52:00,43.16,0,6,Sugar 1000
PQXHGNMA772372,9/2/2025 11:53:00,79.52,0,6,Rainbow candy
PKGJADCZ940317,9/2/2025 11:53:00,59.85,195.54,6,Sweet mint
IOYJPURH205228,9/2/2025 11:54:00,47.87,0,6,Rainbow candy
GDKPFSTR656373,9/2/2025 11:54:00,65.12,126.93,6,Sugar 1000
RGSDTPKS785896,9/2/2025 11:55:00,139.89,0,6,Sweet mint
YHPSSQEE733432,9/2/2025 11:56:00,9.72,25.89,6,Rainbow candy
BUMXPKTS988661,9/2/2025 11:56:00,122.35,0,6,Sugar 1000
LADCTDRX362151,9/2/2025 11:58:00,80.65,0,6,Rainbow candy
PUUFPTBA349672,9/2/2025 11:59:00,41.56,0,6,Sweet mint
KSTGDAEY087103,9/2/2025 11:59:00,27.89,0,6,Sugar 1000
WUGOFMDB503834,9/2/2025 12:01:00,123.77,91.54,6,Rainbow candy
XTWROHET706597,9/2/2025 12:03:00,111.1,0,6,Sweet mint
MORGYNXA973828,9/2/2025 12:03:00,63.44,0,6,Rainbow candy
ZSUYIPQH989626,9/2/2025 12:03:00,27.69,0,6,Sweet mint
LHGIRUDS219880,9/2/2025 12:04:00,142.18,0,6,Sugar 1000
IOLSHBVN586005,9/2/2025 12:05:00,16.91,0,6,Sweet mint
YCETSVNN655841,9/2/2025 12:06:00,128.23,0,6,Rainbow candy
HYTWNMHO725504,9/2/2025 12:07:00,35.79,0,6,Sugar 1000
WHNKLWTJ990464,9/2/2025 12:08:00,24.75,0,6,Rainbow candy
KBFKCEEZ684202,9/2/2025 12:09:00,82.11,0,6,Sugar 1000
MBOMHMCT919867,9/2/2025 12:11:00,138.83,231.28,6,Sugar 1000
FBGTPYUV014409,9/2/2025 12:12:00,120.81,0,6,Sugar 1000
JGSVKCLQ933456,9/2/2025 12:13:00,129.09,85.63,6,Sugar 1000
SPSUNPBV394433,9/2/2025 12:13:00,78.3,0,6,Rainbow candy
HBRDGYYY218782,9/2/2025 12:14:00,16.99,66.19,6,Rainbow candy
JIRXLFWU037144,9/2/2025 12:14:00,119.1,0,6,Rainbow candy
QDQISHJH333413,9/2/2025 12:15:00,142.81,0,6,Sugar 1000
HHVNVVXL588764,9/2/2025 12:15:00,50.42,0,6,Sugar 1000
BZZYRMZV075130,9/2/2025 12:17:00,30.72,242.98,6,Rainbow candy
VWXMATZH647402,9/2/2025 12:17:00,7.92,3.76,6,Sweet mint
YWKHSTJD956940,9/2/2025 12:17:00,109.36,247.59,6,Rainbow candy
UPJNMGUY366346,9/2/2025 12:18:00,25.34,0,6,Sugar 1000
FDIMXPOA903726,9/2/2025 12:19:00,51.02,196.55,6,Sugar 1000
RTSUVOGT644055,9/2/2025 12:21:00,46.73,34.26,6,Rainbow candy
AEZBXUTK574487,9/2/2025 12:22:00,15.1,0,6,Rainbow candy
AURKMLWX943265,9/2/2025 12:24:00,23.09,0,6,Sweet mint
TBAXDEEU197417,9/2/2025 12:26:00,146.1,0,6,Rainbow candy
LFXNSHTC569525,9/2/2025 12:26:00,24.4,18.99,6,Rainbow candy
OVCHTDSQ501434,9/2/2025 12:27:00,37.97,0,6,Rainbow candy
JGILTUNF753207,9/2/2025 12:28:00,85.28,105.53,6,Sweet mint
VOZEVXTP198204,9/2/2025 12:29:00,69.54,0,6,Sugar 1000
JEEGQTFP914759,9/2/2025 12:31:00,125.09,71.8,6,Sugar 1000
JAZVAPJJ234409,9/2/2025 12:32:00,76.89,0,6,Rainbow candy
CLSLIMVX722015,9/2/2025 12:32:00,132.36,0,6,Rainbow candy
ZCQRHVUU645386,9/2/2025 12:34:00,122.22,0,6,Rainbow candy
YWFEDRFS485344,9/2/2025 12:35:00,24.68,0,6,Sugar 1000
VUZQDYYY161205,9/2/2025 12:36:00,71.04,0,6,Sugar 1000
XUHTLMFQ829087,9/2/2025 12:37:00,15.75,0,6,Rainbow candy
PQDDVDNQ633334,9/2/2025 12:38:00,30,0,6,Sugar 1000
ATFVMVUS211043,9/2/2025 12:39:00,19.73,0,6,Sugar 1000
ZEFQCRQJ239291,9/2/2025 12:40:00,56,248.82,6,Sweet mint
EJZAALUZ516438,9/2/2025 12:41:00,29.43,38.58,6,Sweet mint
SSIEAZLQ161541,9/2/2025 12:43:00,3.59,0,6,Sugar 1000
JGUTOZKQ634864,9/2/2025 12:44:00,149.53,0,6,Rainbow candy
BWNEEMAU133783,9/2/2025 12:45:00,71.97,105.51,6,Sweet mint
OIRSPMAX035810,9/2/2025 12:46:00,34.38,0,6,Sugar 1000
VSVIIBTN300937,9/2/2025 12:46:00,53.83,0,6,Rainbow candy
GPTFVZYM144470,9/2/2025 12:47:00,10.24,0,6,Sugar 1000
OQDUSIDQ167948,9/2/2025 12:48:00,125.09,94.42,6,Sugar 1000
JGELGKRW116948,9/2/2025 12:50:00,66.92,0,6,Sweet mint
OZMXCWYM491031,9/2/2025 12:51:00,53.21,0,6,Rainbow candy
HTIBGFBN935026,9/2/2025 12:52:00,146.77,239.74,6,Rainbow candy
AZGDAYCT726296,9/2/2025 12:53:00,41.3,0,6,Rainbow candy
JESJUVRF659480,9/2/2025 12:55:00,58.88,144.78,6,Sugar 1000
MTMARNLQ633978,9/2/2025 12:55:00,17.58,248.93,6,Sweet mint
XXILFPHY416171,9/2/2025 12:57:00,37.33,24.03,6,Sweet mint
IGYOIPUU307282,9/2/2025 12:58:00,74.75,189.91,6,Sweet mint
FNEMYCZW892979,9/2/2025 13:00:00,55.99,0,6,Sugar 1000
LOTGUVYS532679,9/2/2025 13:00:00,130.48,10.63,6,Sugar 1000
QXCGIBMD111366,9/2/2025 13:02:00,33.66,0,6,Rainbow candy
DZVTEOMI000867,9/2/2025 13:04:00,51.96,0,6,Rainbow candy
CKKWQFDA660648,9/2/2025 13:06:00,103.92,77.04,6,Sweet mint
LEHAUVIV203761,9/2/2025 13:06:00,6.78,0,6,Sugar 1000
RLHIBSYW401117,9/2/2025 13:07:00,102.98,0,6,Rainbow candy
SWBGXMHR932172,9/2/2025 13:07:00,61.95,0,6,Sugar 1000
GQCWVAUE262648,9/2/2025 13:08:00,56.13,0,6,Sugar 1000
JYYUNKYV568628,9/2/2025 13:10:00,9.15,142.23,6,Rainbow candy
HGHPMOEB934871,9/2/2025 13:10:00,64.37,0,6,Sweet mint
SFVMAHGY373206,9/2/2025 22:21:00,18.94,0,6,Rainbow candy
RIBRAFHH535836,9/3/2025 14:24:00,128.68,201.91,6,Rainbow candy
CVMEJCKM773335,9/5/2025 14:18:00,103.25,240.31,6,Rainbow candy
TTOLAHDF804595,10/3/2025 0:54:00,19.5,222.15,6,Sugar 1000
MUZYLQVC214568,10/3/2025 17:20:00,74.07,0,6,Sweet mint
YFLUKMUY852170,10/5/2025 22:07:00,30.88,198.9,6,Rainbow candy
UFQWTVMQ373814,10/6/2025 10:57:00,54.43,58.75,6,Sweet mint
CJNLHBAL600180,11/3/2025 21:44:00,10.67,0,6,Sweet mint
BRHYNHTJ133169,11/4/2025 15:35:00,47.94,0,6,Sugar 1000
BEYPYTWO751698,11/6/2025 11:26:00,106.39,0,6,Rainbow candy
ZYQBIOCI203449,11/7/2025 16:20:00,51.04,0,6,Sugar 1000
URGVNTDH346346,13/5/2025 15:51,38.16,0,6,Sugar 1000
CGHIWSST121990,14/5/2025 4:15,77.43,0,6,Sugar 1000
KMREOJWT507612,15/12/2024 22:30,86.55,0,6,Sugar 1000
EQFRMLMU783264,15/6/2025 11:49,90.45,0,6,Sweet mint
HECLOPBU259775,16/1/2025 0:58,126.87,17.17,6,Rainbow candy
LTWAFODZ772433,16/6/2025 8:35,32.91,0,6,Rainbow candy
XSEPRZAF115887,16/8/2025 23:22,37.36,0,6,Sweet mint
PKWBMKDV525864,18/1/2025 0:16,41.36,0,6,Sweet mint
FXIMPUXT628964,18/8/2025 19:57,55.2,0,6,Sugar 1000
AFGBLGBC501865,19/12/2024 23:54,123.02,0,6,Sugar 1000
TZSWNHZN679758,19/8/2025 17:31,88.84,0,6,Sugar 1000
GDRTVFCY348046,20/12/2024 16:04,95.92,0,6,Sweet mint
PVSOSGPG120306,20/7/2025 2:48,121.63,0,6,Sweet mint
WVTMVIMG017171,20/7/2025 6:10,86.07,226.85,6,Rainbow candy
TRIUITSE296786,21/12/2024 12:05,27.33,0,6,Rainbow candy
YNFRJMNE093023,21/2/2025 15:17,73.59,0,6,Sweet mint
DWNLBRFZ143255,21/3/2025 12:47,113.75,0,6,Rainbow candy
XIFVOMVE937991,21/3/2025 21:37,135.21,0,6,Sweet mint
ZIUKERBK086016,21/3/2025 21:44,93.29,114.1,6,Rainbow candy
ARPPQVAX297869,21/4/2025 19:48,140.96,0,6,Sweet mint
CLBKLHHS252955,21/4/2025 23:06,139.39,42.93,6,Sweet mint
WUAJKYTW507025,21/5/2025 1:53,95.48,0,6,Sugar 1000
USNQNADE391165,21/7/2025 6:33,78.81,9.32,6,Sweet mint
WRFGRFXS203229,22/2/2025 10:15,17.69,0,6,Sweet mint
FCKNQWXK070260,22/7/2025 3:21,47.84,1.8,6,Sweet mint
YVXCAJCA048047,23/5/2025 20:14,119.93,0,6,Sweet mint
HDVLBVHT942591,23/6/2025 14:02,114.24,0,6,Rainbow candy
UALWWOKN498504,24/4/2025 11:00,72.03,145.85,6,Sweet mint
ZORDFKXC096512,24/7/2025 1:39,136.83,122.25,6,Sweet mint
OBVGMQNJ503677,24/7/2025 1:39,121.65,194.86,6,Sweet mint
FPDOAGOX250069,24/7/2025 1:41,55.38,193.69,6,Sweet mint
EYDUDDAW504535,24/7/2025 1:43,31.47,238.75,6,Rainbow candy
ABCRVNVR150753,24/7/2025 1:44,6.78,0,6,Rainbow candy
KWZSZXAL468647,24/7/2025 1:44,14.36,0,6,Rainbow candy
TKAUQMWF763876,24/7/2025 1:46,78.25,210.16,6,Sugar 1000
UMVJLRYN519749,24/7/2025 1:47,35.65,0,6,Sweet mint
SREILIHL727501,24/7/2025 1:48,78.19,0,6,Rainbow candy
ZKBDMRVC834514,24/7/2025 1:50,130.76,62.93,6,Sugar 1000
GVREEFMO208443,24/7/2025 1:50,114.82,132.09,6,Sweet mint
BLJGLBGV442008,24/7/2025 1:50,116.81,0,6,Sugar 1000
MPKNCBKQ937619,24/7/2025 1:52,109.27,0,6,Sugar 1000
PVSGUGKY741487,24/7/2025 1:52,37.85,0,6,Rainbow candy
GMPWAOGE047968,24/7/2025 1:52,42.46,0,6,Sweet mint
MTRMXNML029972,24/7/2025 1:53,98.03,33.32,6,Rainbow candy
EEXMISLG860281,24/7/2025 1:55,7.3,0,6,Sweet mint
YPJTNUCO165815,24/7/2025 1:56,131.2,0,6,Sugar 1000
NROGHPZM376807,24/7/2025 1:56,32.71,0,6,Sweet mint
IHIYOXEQ195167,24/7/2025 1:56,76.69,0,6,Sweet mint
CZCOLPYO400670,24/7/2025 1:57,87.21,59.63,6,Rainbow candy
TOCRSFBY210698,24/7/2025 1:57,66.47,134.66,6,Rainbow candy
YGQPPXTS562789,24/7/2025 1:58,65.8,0,6,Sweet mint
TCRRHDOX501887,24/7/2025 1:58,20.81,0,6,Sweet mint
EXBIPEMG971801,24/7/2025 1:59,17.63,0,6,Sugar 1000
ZCHNKBEV800787,24/7/2025 2:01,13.5,2.08,6,Rainbow candy
XRQQFXIG020614,24/7/2025 2:02,121.7,75.11,6,Sugar 1000
BVQJMQJC524823,24/7/2025 2:04,87.12,0,6,Rainbow candy
HUQLEHAG252339,24/7/2025 2:06,41.49,0,6,Sweet mint
XRZCDDXL027485,24/7/2025 2:06,121.78,0,6,Rainbow candy
TMCUFEWQ907816,24/7/2025 2:08,81.99,0,6,Sweet mint
LABPLANK146294,24/7/2025 2:09,25.05,0,6,Rainbow candy
OSYEAWRK736819,24/7/2025 2:11,60.46,0,6,Sweet mint
XKVFXCQB021019,24/7/2025 2:12,50.53,218.17,6,Rainbow candy
ROWCTTTZ333312,24/7/2025 2:12,119.63,120.88,6,Rainbow candy
NLSPAMAK222787,24/7/2025 2:13,47.83,0,6,Sweet mint
NVYCFVBH425227,24/7/2025 2:14,87.44,0,6,Sugar 1000
UOAFNFUM831012,24/7/2025 2:15,95.36,0,6,Rainbow candy
BNOSGJWI837573,24/7/2025 2:16,65.69,0,6,Sweet mint
FGRBPUTS588680,24/7/2025 2:17,107.82,0,6,Sugar 1000
GEMZEZHH256260,24/7/2025 2:18,57.05,0,6,Sugar 1000
ZSVVAQYB258807,24/7/2025 2:18,84.17,0,6,Rainbow candy
HQBSOXSX241881,24/7/2025 2:19,136.65,0,6,Sweet mint
PDNAAEXN015816,24/7/2025 2:20,110.95,0,6,Sugar 1000
GXKWJDEQ068863,24/7/2025 2:21,35.27,85.73,6,Rainbow candy
RWODBENW089618,24/7/2025 2:22,27.56,243.52,6,Sugar 1000
YRXEHYZE099049,24/7/2025 2:24,19.02,78.49,6,Rainbow candy
AXLRKTDN135013,24/7/2025 2:25,139.85,0,6,Sweet mint
